0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0.00 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 
3.61 ,19.994 ,19.999 ,20.000 ,19.998 ,19.983 ,40.173 ,387.943 ,305.170 ,20.002 ,20.002 ,20.000 ,19.999 ,19.999 ,19.999 ,19.990 ,20.000 ,20.000 ,20.000 ,19.998 ,20.000 ,20.000 ,20.000 ,19.998 ,20.000 ,20.000 ,20.000 ,19.953 ,19.999 ,19.999 ,19.999 ,72.722 ,19.989 ,20.000 ,19.999 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.000 ,20.001 ,103.860 ,55.338 ,20.000 ,19.999 ,20.000 
7.21 ,19.978 ,19.996 ,20.000 ,19.999 ,20.003 ,74.841 ,911.135 ,975.729 ,23.542 ,20.002 ,19.998 ,19.996 ,19.992 ,19.998 ,19.981 ,20.004 ,19.999 ,19.999 ,19.995 ,19.996 ,19.998 ,19.999 ,19.990 ,20.000 ,19.997 ,19.999 ,21.094 ,19.994 ,20.236 ,19.993 ,232.741 ,19.957 ,19.998 ,19.994 ,26.096 ,19.999 ,19.997 ,19.998 ,19.999 ,19.999 ,20.284 ,135.286 ,320.679 ,393.909 ,133.936 ,46.109 ,19.999 
10.81 ,19.973 ,19.987 ,20.000 ,19.993 ,20.020 ,88.078 ,814.616 ,985.456 ,78.524 ,20.006 ,19.997 ,19.989 ,19.989 ,19.999 ,20.000 ,19.999 ,19.999 ,19.998 ,23.377 ,19.999 ,19.994 ,19.998 ,25.933 ,19.989 ,20.014 ,19.998 ,58.524 ,19.981 ,21.101 ,19.993 ,251.000 ,41.326 ,27.668 ,19.989 ,55.246 ,19.998 ,19.995 ,19.999 ,19.999 ,19.997 ,149.027 ,320.806 ,611.908 ,581.644 ,359.881 ,273.418 ,172.345 
14.40 ,19.976 ,19.990 ,19.997 ,19.988 ,20.027 ,49.200 ,960.373 ,1004.138 ,73.195 ,33.508 ,20.091 ,20.547 ,19.991 ,19.997 ,20.004 ,19.999 ,19.999 ,20.000 ,113.268 ,19.999 ,20.015 ,19.996 ,56.494 ,19.988 ,20.949 ,19.998 ,75.643 ,19.969 ,22.200 ,19.994 ,249.937 ,48.576 ,35.405 ,19.987 ,45.205 ,19.998 ,20.076 ,19.990 ,19.995 ,19.997 ,249.666 ,399.543 ,674.443 ,572.769 ,392.010 ,335.121 ,276.927 
18.01 ,19.978 ,19.985 ,19.999 ,20.159 ,20.012 ,51.910 ,937.002 ,913.782 ,61.708 ,48.058 ,21.776 ,26.113 ,19.992 ,26.892 ,19.995 ,19.997 ,20.007 ,19.995 ,108.681 ,23.927 ,26.676 ,19.993 ,67.282 ,19.990 ,46.371 ,19.995 ,99.727 ,19.970 ,45.794 ,20.009 ,202.266 ,63.249 ,50.790 ,20.009 ,67.594 ,20.007 ,24.618 ,19.987 ,19.989 ,19.997 ,285.385 ,437.545 ,659.744 ,588.503 ,416.641 ,341.731 ,282.079 
21.61 ,19.985 ,19.985 ,19.995 ,27.889 ,20.142 ,41.105 ,992.473 ,915.736 ,72.460 ,46.254 ,29.966 ,31.511 ,21.305 ,30.989 ,19.994 ,20.004 ,25.641 ,19.991 ,150.309 ,45.586 ,34.126 ,19.989 ,73.738 ,19.997 ,39.041 ,19.991 ,108.275 ,20.064 ,72.360 ,20.736 ,227.885 ,86.794 ,60.656 ,25.696 ,70.553 ,36.981 ,27.684 ,20.531 ,19.989 ,19.997 ,284.508 ,460.856 ,738.481 ,645.453 ,429.931 ,354.751 ,288.895 
25.21 ,19.983 ,19.990 ,21.134 ,37.779 ,31.186 ,69.397 ,965.208 ,970.744 ,109.181 ,56.714 ,39.875 ,43.331 ,46.355 ,46.186 ,19.993 ,19.981 ,27.350 ,20.006 ,159.436 ,79.817 ,39.291 ,19.986 ,81.136 ,19.998 ,54.098 ,19.988 ,116.239 ,20.341 ,97.652 ,37.448 ,228.725 ,81.551 ,71.420 ,31.227 ,100.464 ,41.727 ,48.069 ,22.489 ,19.991 ,19.998 ,327.492 ,519.113 ,771.296 ,711.058 ,510.197 ,416.682 ,337.660 
28.81 ,19.989 ,19.998 ,25.610 ,44.562 ,40.710 ,73.513 ,990.359 ,964.230 ,93.609 ,79.420 ,51.887 ,53.674 ,57.414 ,56.460 ,19.988 ,19.995 ,34.242 ,20.038 ,150.221 ,80.991 ,58.144 ,19.988 ,88.949 ,20.023 ,61.609 ,22.578 ,125.967 ,23.239 ,94.297 ,37.451 ,280.787 ,77.398 ,106.307 ,41.852 ,122.618 ,43.524 ,56.267 ,31.960 ,19.993 ,19.998 ,340.950 ,504.650 ,811.834 ,696.466 ,519.902 ,445.580 ,371.619 
32.40 ,20.001 ,19.990 ,25.890 ,43.551 ,46.795 ,49.903 ,1037.089 ,982.475 ,75.994 ,72.329 ,58.806 ,47.070 ,62.010 ,62.860 ,20.276 ,19.992 ,35.837 ,20.102 ,176.346 ,84.996 ,58.768 ,25.662 ,97.776 ,21.748 ,68.085 ,28.402 ,122.749 ,32.972 ,97.355 ,46.642 ,218.384 ,83.254 ,101.566 ,63.405 ,123.059 ,61.341 ,74.231 ,41.777 ,19.994 ,19.998 ,338.264 ,483.641 ,687.059 ,684.853 ,498.872 ,424.020 ,346.085 
36.00 ,20.017 ,19.978 ,32.106 ,47.227 ,42.042 ,77.819 ,982.987 ,1010.934 ,70.796 ,79.638 ,64.799 ,51.517 ,69.159 ,71.514 ,20.747 ,19.988 ,42.958 ,20.253 ,156.372 ,92.434 ,61.339 ,31.168 ,93.891 ,29.665 ,66.710 ,34.604 ,116.559 ,38.670 ,90.678 ,50.408 ,252.699 ,102.803 ,111.727 ,74.111 ,133.606 ,66.455 ,82.117 ,47.962 ,19.994 ,19.998 ,306.125 ,468.340 ,693.152 ,682.409 ,480.155 ,396.821 ,325.975 
39.61 ,19.986 ,19.977 ,39.165 ,52.823 ,43.782 ,44.610 ,1003.924 ,937.563 ,61.605 ,77.078 ,63.057 ,57.212 ,62.497 ,72.323 ,20.590 ,19.981 ,52.354 ,23.076 ,165.092 ,96.025 ,58.176 ,32.356 ,98.326 ,31.464 ,67.546 ,37.639 ,120.365 ,41.724 ,100.132 ,53.775 ,235.796 ,102.182 ,100.305 ,76.747 ,115.878 ,63.023 ,88.810 ,48.992 ,19.993 ,19.998 ,324.177 ,479.008 ,740.080 ,705.121 ,481.750 ,394.994 ,322.348 
43.20 ,19.998 ,19.980 ,36.964 ,46.297 ,44.408 ,55.584 ,978.069 ,933.319 ,96.395 ,68.109 ,64.295 ,56.961 ,66.875 ,70.304 ,20.023 ,19.966 ,54.158 ,27.508 ,170.265 ,102.745 ,59.365 ,39.610 ,100.996 ,35.519 ,68.824 ,40.964 ,119.867 ,41.925 ,99.427 ,57.295 ,260.090 ,96.969 ,101.287 ,74.247 ,129.308 ,70.519 ,85.625 ,52.801 ,19.994 ,19.996 ,334.102 ,525.418 ,786.841 ,725.404 ,539.276 ,441.368 ,363.916 
46.81 ,20.022 ,19.978 ,37.400 ,51.673 ,42.221 ,61.228 ,928.878 ,1000.754 ,139.514 ,75.399 ,65.694 ,58.195 ,73.512 ,71.436 ,20.195 ,19.979 ,59.204 ,34.609 ,178.336 ,100.136 ,63.263 ,37.942 ,98.772 ,36.845 ,74.790 ,39.962 ,128.847 ,43.577 ,104.663 ,59.151 ,231.157 ,97.288 ,114.982 ,72.215 ,136.430 ,76.038 ,84.557 ,51.019 ,19.994 ,19.993 ,346.418 ,488.926 ,686.518 ,713.253 ,520.689 ,439.850 ,375.317 
