0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,20.000 ,20.000 ,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.61,20.001 ,20.001 ,20.000,20.000,19.999,20.000,19.999,20.001,19.999,20.000,19.999,19.999,19.999,19.999,20.002,20.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.21,19.984 ,19.986 ,19.999,19.992,20.000,20.173,20.058,20.338,20.113,19.998,19.996,19.994,19.998,19.997,20.000,20.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.81,19.985 ,19.981 ,19.998,19.988,20.002,20.306,20.555,21.299,20.180,19.991,19.998,19.998,19.997,19.994,19.993,20.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.4,19.981 ,19.984 ,19.996,19.990,19.998,24.335,22.763,26.843,20.961,19.997,19.998,19.996,19.992,19.992,20.000,19.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.01,19.978 ,19.986 ,19.994,19.991,20.010,20.273,22.948,21.403,20.806,20.011,19.997,19.994,19.993,19.990,20.000,19.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.61,20.000 ,19.977 ,19.991,19.995,20.034,20.158,20.034,21.520,20.102,20.017,19.995,19.996,19.995,19.992,20.008,19.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.21,19.994 ,19.983 ,19.991,19.995,20.030,20.425,20.683,20.944,20.049,20.007,19.992,19.996,19.995,19.994,20.033,20.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.81,19.995 ,19.997 ,19.988,19.995,20.024,20.273,21.712,20.640,20.461,20.003,19.993,19.996,19.994,19.992,20.026,20.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.4,20.000 ,20.005 ,19.990,19.993,20.028,20.355,20.901,21.968,20.538,20.018,19.997,19.997,19.996,19.995,20.062,20.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
