0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
3.61,19.998,19.998,19.998,26.718,26.718,26.718,346.56,346.56,20,20,20,20,20,19.997,19.997,19.997,19.994,20,19.994,20,19.994,19.999,19.994,19.999,19.994,19.999,19.994,19.999,19.994,19.993,88.291,19.993,37.836,19.999,20,20,20,20,20,20,19.994,19.994,88.291,37.836,20,20,20
7.21,19.995,19.995,19.995,19.995,19.995,50.571,911.13,975.73,50.571,20.047,20.047,20.047,20.047,20.047,20.047,20.047,19.997,19.998,19.997,19.998,20.249,19.998,20.249,19.993,20.249,19.993,20.249,19.993,20.249,19.993,276.71,19.993,20.249,19.993,22.006,19.993,22.006,19.993,22.006,19.993,20.284,135.29,276.71,393.91,66.681,66.681,66.681
10.81,19.987,19.987,19.987,42.677,42.677,42.677,900.04,900.04,27.323,27.323,27.323,27.323,27.323,27.323,27.323,27.323,21.688,19.994,21.688,19.994,19.994,19.994,22.973,19.994,22.973,19.994,39.814,19.994,39.814,19.994,285.9,41.326,30.727,19.994,30.727,19.994,30.727,19.994,30.727,19.994,149.03,285.9,596.78,596.78,268.55,268.55,268.55
14.4,19.996,19.996,19.996,19.996,19.996,61.188,960.37,1004.1,61.188,22.02,22.02,22.02,22.02,22.02,22.02,22.02,66.803,19.993,66.803,19.993,39.016,19.993,39.016,19.993,39.016,19.993,39.016,19.993,39.016,19.992,249.94,48.576,30.143,19.992,30.143,19.992,30.143,19.992,30.143,19.992,324.6,324.6,623.61,623.61,334.69,334.69,334.69
18.01,25.602,25.602,25.602,25.602,25.602,25.602,925.39,925.39,30.396,30.396,30.396,30.396,30.396,30.396,30.396,30.396,61.385,21.942,61.385,21.942,61.385,20.031,61.385,20.031,61.385,19.987,61.385,19.987,124.79,47.4,124.79,47.4,40.784,20.001,40.784,20.001,40.784,20.001,40.784,19.997,361.47,361.47,624.12,624.12,346.82,346.82,346.82
21.61,19.985,19.99,19.99,24.015,24.015,41.105,954.1,954.1,57.077,57.077,25.503,25.503,25.503,25.503,25.503,25.503,70.049,33.259,70.049,33.259,70.049,21.063,70.049,21.063,70.049,21.063,70.049,21.063,70.049,21.063,88.932,48.488,70.049,21.063,88.932,48.488,88.932,48.488,88.932,19.997,532.32,532.32,532.32,532.32,357.86,357.86,357.86
25.21,25.412,25.412,25.412,25.412,25.412,83.46,967.98,967.98,83.46,46.491,46.491,46.491,46.491,46.491,19.987,19.987,80.909,50.182,80.909,50.182,80.909,20.078,80.909,20.078,80.909,20.078,80.909,20.078,80.909,59.505,99.546,59.505,80.909,31.815,99.546,31.815,99.546,31.815,99.546,19.998,423.3,423.3,741.18,741.18,421.51,421.51,421.51
28.81,21.866,21.866,21.866,42.636,42.636,73.513,977.29,977.29,93.609,60.527,60.527,60.527,60.527,31.857,31.857,31.857,90.273,50.564,90.273,50.564,90.273,27.859,90.273,27.859,90.273,27.859,90.273,27.859,90.273,27.859,120,51.3,90.273,27.859,120,51.3,120,51.3,120,19.998,588.47,588.47,588.47,588.47,445.7,445.7,445.7
32.4,21.96,21.96,21.96,46.75,46.75,46.75,1009.8,1009.8,67.823,67.823,36.151,36.151,67.823,67.823,36.151,36.151,94.885,20.102,94.885,55.336,94.885,55.336,94.885,32.498,94.885,32.498,94.885,32.498,94.885,32.498,108.84,73.366,94.885,73.366,108.84,51.559,108.84,51.559,108.84,19.998,548.45,548.45,548.45,548.45,422.99,422.99,422.99
36,20.017,26.043,26.043,55.686,55.686,55.686,996.96,996.96,67.905,67.905,67.905,67.905,67.905,67.905,20.367,20.367,99.94,42.591,99.94,42.591,85.764,42.591,85.764,42.591,85.764,42.591,85.764,42.591,85.764,42.591,122.1,62.178,111.73,62.178,122.1,62.178,122.1,62.178,122.1,62.178,387.23,387.23,687.78,687.78,400.98,400.98,400.98
