0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
3.61,19.994,19.999,20,19.998,19.983,40.173,387.943,305.17,20.002,20.002,20,19.999,19.999,19.999,19.99,20,20,20,19.998,20,20,20,19.998,20,20,20,19.953,19.999,19.999,19.999,72.722,19.989,20,19.999,20,20,20,20,20,20,20,20.001,103.86,55.338,20,19.999,20
7.21,19.978,19.996,20,19.999,20.003,74.841,911.135,975.729,23.542,20.002,19.998,19.996,19.992,19.998,19.981,20.004,19.999,19.999,19.995,19.996,19.998,19.999,19.99,20,19.997,19.999,21.094,19.994,20.236,19.993,232.741,19.957,19.998,19.994,26.096,19.999,19.997,19.998,19.999,19.999,20.284,135.286,320.679,393.909,133.936,46.109,19.999
10.81,19.973,19.987,20,19.993,20.02,88.078,814.616,985.456,78.524,20.006,19.997,19.989,19.989,19.999,20,19.999,19.999,19.998,23.377,19.999,19.994,19.998,25.933,19.989,20.014,19.998,58.524,19.981,21.101,19.993,251,41.326,27.668,19.989,55.246,19.998,19.995,19.999,19.999,19.997,149.027,320.806,611.908,581.644,359.881,273.418,172.345
14.4,19.976,19.99,19.997,19.988,20.027,49.2,960.373,1004.138,73.195,33.508,20.091,20.547,19.991,19.997,20.004,19.999,19.999,20,113.268,19.999,20.015,19.996,56.494,19.988,20.949,19.998,75.643,19.969,22.2,19.994,249.937,48.576,35.405,19.987,45.205,19.998,20.076,19.99,19.995,19.997,249.666,399.543,674.443,572.769,392.01,335.121,276.927
18.01,19.978,19.985,19.999,20.159,20.012,51.91,937.002,913.782,61.708,48.058,21.776,26.113,19.992,26.892,19.995,19.997,20.007,19.995,108.681,23.927,26.676,19.993,67.282,19.99,46.371,19.995,99.727,19.97,45.794,20.009,202.266,63.249,50.79,20.009,67.594,20.007,24.618,19.987,19.989,19.997,285.385,437.545,659.744,588.503,416.641,341.731,282.079
21.61,19.985,19.985,19.995,27.889,20.142,41.105,992.473,915.736,72.46,46.254,29.966,31.511,21.305,30.989,19.994,20.004,25.641,19.991,150.309,45.586,34.126,19.989,73.738,19.997,39.041,19.991,108.275,20.064,72.36,20.736,227.885,86.794,60.656,25.696,70.553,36.981,27.684,20.531,19.989,19.997,284.508,460.856,738.481,645.453,429.931,354.751,288.895
25.21,19.983,19.99,21.134,37.779,31.186,69.397,965.208,970.744,109.181,56.714,39.875,43.331,46.355,46.186,19.993,19.981,27.35,20.006,159.436,79.817,39.291,19.986,81.136,19.998,54.098,19.988,116.239,20.341,97.652,37.448,228.725,81.551,71.42,31.227,100.464,41.727,48.069,22.489,19.991,19.998,327.492,519.113,771.296,711.058,510.197,416.682,337.66
28.81,19.989,19.998,25.61,44.562,40.71,73.513,990.359,964.23,93.609,79.42,51.887,53.674,57.414,56.46,19.988,19.995,34.242,20.038,150.221,80.991,58.144,19.988,88.949,20.023,61.609,22.578,125.967,23.239,94.297,37.451,280.787,77.398,106.307,41.852,122.618,43.524,56.267,31.96,19.993,19.998,340.95,504.65,811.834,696.466,519.902,445.58,371.619
32.4,20.001,19.99,25.89,43.551,46.795,49.903,1037.089,982.475,75.994,72.329,58.806,47.07,62.01,62.86,20.276,19.992,35.837,20.102,176.346,84.996,58.768,25.662,97.776,21.748,68.085,28.402,122.749,32.972,97.355,46.642,218.384,83.254,101.566,63.405,123.059,61.341,74.231,41.777,19.994,19.998,338.264,483.641,687.059,684.853,498.872,424.02,346.085
36,20.017,19.978,32.106,47.227,42.042,77.819,982.987,1010.934,70.796,79.638,64.799,51.517,69.159,71.514,20.747,19.988,42.958,20.253,156.372,92.434,61.339,31.168,93.891,29.665,66.71,34.604,116.559,38.67,90.678,50.408,252.699,102.803,111.727,74.111,133.606,66.455,82.117,47.962,19.994,19.998,306.125,468.34,693.152,682.409,480.155,396.821,325.975
